Date,Variant,Color,Old,N,Rate
"10-31 March",blues,blues,FALSE,1157,0.1893
"10-31 March",blues,blues,TRUE,618,0.2718
"10-31 March",dark,dark,FALSE,1224,0.2059
"10-31 March",dark,dark,TRUE,618,0.2152
"10-31 March",gray1,gray,FALSE,1177,0.1971
"10-31 March",gray1,gray,TRUE,515,0.2835
"10-31 March",gray2,gray,FALSE,1220,0.2033
"10-31 March",gray2,gray,TRUE,585,0.2274
"10-31 March",gray3,gray,FALSE,1192,0.1829
"10-31 March",gray3,gray,TRUE,600,0.2483
"10-31 March",gray4,gray,FALSE,1174,0.1857
"10-31 March",gray4,gray,TRUE,650,0.2031
"10-31 March",gray5,gray,FALSE,1175,0.1668
"10-31 March",gray5,gray,TRUE,559,0.2594
"10-31 March",gray6,gray,FALSE,1153,0.1951
"10-31 March",gray6,gray,TRUE,654,0.2370
"10-31 March",none,none,FALSE,1189,0.1926
"10-31 March",none,none,TRUE,578,0.2491
"1-6 April",blues,blues,FALSE,3470,0.1435
"1-6 April",blues,blues,TRUE,1256,0.2381
"1-6 April",dark,dark,FALSE,3644,0.1383
"1-6 April",dark,dark,TRUE,1242,0.2085
"1-6 April",gray1,gray,FALSE,3471,0.1406
"1-6 April",gray1,gray,TRUE,1183,0.2358
"1-6 April",gray2,gray,FALSE,3649,0.1381
"1-6 April",gray2,gray,TRUE,1271,0.2179
"1-6 April",gray3,gray,FALSE,3527,0.1415
"1-6 April",gray3,gray,TRUE,1264,0.2152
"1-6 April",gray4,gray,FALSE,1174,0.1857
"1-6 April",gray4,gray,TRUE,669,0.2003
"1-6 April",gray5,gray,FALSE,3242,0.1221
"1-6 April",gray5,gray,TRUE,1130,0.2177
"1-6 April",gray6,gray,FALSE,3610,0.1288
"1-6 April",gray6,gray,TRUE,1358,0.2202
"1-6 April",none,none,FALSE,3607,0.1397
"1-6 April",none,none,TRUE,1236,0.2209
"7-9 April",blues,blues,FALSE,449,0.1604
"7-9 April",blues,blues,TRUE,296,0.2027
"7-9 April",dark,dark,FALSE,420,0.1381
"7-9 April",dark,dark,TRUE,276,0.2174
"7-9 April",gray1,gray,FALSE,475,0.1347
"7-9 April",gray1,gray,TRUE,262,0.2137
"7-9 April",gray2,gray,FALSE,416,0.1514
"7-9 April",gray2,gray,TRUE,230,0.1652
"7-9 April",gray3,gray,FALSE,446,0.1547
"7-9 April",gray3,gray,TRUE,266,0.1805
"7-9 April",gray5,gray,FALSE,3,0
"7-9 April",gray5,gray,TRUE,34,0.1765
"7-9 April",gray6,gray,FALSE,409,0.1711
"7-9 April",gray6,gray,TRUE,259,0.1892
"7-9 April",none,none,FALSE,460,0.1739
"7-9 April",none,none,TRUE,226,0.2035
"10-17 April",blues,blues,FALSE,1214,0.1557
"10-17 April",blues,blues,TRUE,584,0.2209
"10-17 April",dark,dark,FALSE,1175,0.1481
"10-17 April",dark,dark,TRUE,574,0.2056
"10-17 April",gray1,gray,FALSE,1200,0.1733
"10-17 April",gray1,gray,TRUE,518,0.2143
"10-17 April",gray2,gray,FALSE,1144,0.1503
"10-17 April",gray2,gray,TRUE,514,0.2160
"10-17 April",gray3,gray,FALSE,1160,0.1543
"10-17 April",gray3,gray,TRUE,638,0.2179
"10-17 April",gray4,gray,TRUE,1,0
"10-17 April",gray5,gray,TRUE,16,0.1250
"10-17 April",gray6,gray,FALSE,1,0
"10-17 April",gray6,gray,TRUE,95,0.737
"10-17 April",none,none,FALSE,1182,0.1658
"10-17 April",none,none,TRUE,570,0.2386
"18-30 April",blues,blues,FALSE,3346,0.1754
"18-30 April",blues,blues,TRUE,1308,0.2446
"18-30 April",dark,dark,FALSE,1,0
"18-30 April",dark,dark,TRUE,64,0.1094
"18-30 April",gray1,gray,FALSE,3567,0.1749
"18-30 April",gray1,gray,TRUE,1412,0.2656
"18-30 April",gray2,gray,FALSE,3433,0.1754
"18-30 April",gray2,gray,TRUE,1298,0.2542
"18-30 April",gray3,gray,FALSE,3481,0.1798
"18-30 April",gray3,gray,TRUE,1447,0.2522
"18-30 April",gray4,gray,FALSE,2,0
"18-30 April",gray4,gray,TRUE,1,0
"18-30 April",gray6,gray,FALSE,2,0
"18-30 April",gray6,gray,TRUE,11,0.909
"18-30 April",none,none,FALSE,3444,0.1704
"18-30 April",none,none,TRUE,1364,0.2705
"1-11 May",blues,blues,FALSE,2362,0.1346
"1-11 May",blues,blues,TRUE,1052,0.2215
"1-11 May",dark,dark,TRUE,1,0
"1-11 May",gray1,gray,FALSE,2365,0.1357
"1-11 May",gray1,gray,TRUE,1090,0.2486
"1-11 May",gray2,gray,FALSE,4,0
"1-11 May",gray2,gray,TRUE,44,0.2727
"1-11 May",gray3,gray,FALSE,2478,0.1465
"1-11 May",gray3,gray,TRUE,1053,0.2460
"1-11 May",gray4,gray,TRUE,2,0
"1-11 May",gray6,gray,TRUE,3,0
"1-11 May",none,none,FALSE,2397,0.1439
"1-11 May",none,none,TRUE,1108,0.2383
"12-31 May",blues,blues,FALSE,3,0
"12-31 May",blues,blues,TRUE,48,0.1250
"12-31 May",dark,dark,TRUE,2,0
"12-31 May",gray1,gray,FALSE,3896,0.1817
"12-31 May",gray1,gray,TRUE,2032,0.2269
"12-31 May",gray2,gray,TRUE,6,0
"12-31 May",gray3,gray,FALSE,3776,0.1626
"12-31 May",gray3,gray,TRUE,1912,0.2317
"12-31 May",gray6,gray,TRUE,1,0
"12-31 May",none,none,FALSE,3997,0.1739
"12-31 May",none,none,TRUE,2142,0.2246
"01-08 June",none,none,TRUE,2142,0.2246
"01-08 June",dark,dark,TRUE,2,0.5
"01-08 June",gray1,gray,FALSE,2605,0.1724
"01-08 June",gray1,gray,TRUE,1197,0.2356
"01-08 June",gray2,gray,TRUE,3,0
"01-08 June",gray3,gray,FALSE,3,0.3333
"01-08 June",gray3,gray,TRUE,51,0.588
"01-08 June",none,none,FALSE,2563,0.1635
"01-08 June",none,none,TRUE,1363,0.2384
