Date, MP, Noopept, Magtein
2013-05-15, 2, 1, 0
2013-05-16, 3, 1, 0
2013-05-17, 4, 1, 0
2013-05-18, 3, 1, 0
2013-05-19, 2, 1, 0
2013-05-20, 4, 0, 0
2013-05-21, 2, 1, 0
2013-05-22, 3, 0, 0
2013-05-23, 4, 1, 1
2013-05-24, 2, 0, 1
2013-05-25, 4, 0, 1
2013-05-26, 4, 1, 1
2013-05-27, 2, 0, 0
2013-05-28, 3, 1, 1
2013-05-29, 2, 0, 1
2013-05-30, 3, 0, 1
2013-05-31, 3, 1, 1
2013-06-01, 3, 0, 1
2013-06-02, 2, 1, 1
2013-06-03, 2, 0, 1
2013-06-04, 2, 0, 0
2013-06-05, 3, 1, 1
2013-06-06, 3, 0, 0
2013-06-07, 2, 1, 0
2013-06-08, 2, 0, 0
2013-06-09, 3, 0, 0
2013-06-10, 4, 0, 1
2013-06-11, 4, 0, 1
2013-06-12, 2, 0, 0
2013-06-13, 3, 0, 0
2013-06-14, 2, 0, 0
2013-06-15, 2, 0, 0
2013-06-16, 3, 1, 0
2013-06-17, 4, 1, 1
2013-06-18, 4, 0, 0
2013-06-19, 3, 0, 1
2013-06-20, 2, 0, 0
2013-06-21, 2, 1, 1
2013-06-22, 3, 0, 0
2013-06-23, 4, 1, 1
2013-06-24, 4, 0, 0
2013-06-25, 3, 1, 0
2013-06-26, 3, 0, 0
2013-06-27, 3, 1, 1
2013-06-28, 3, 0, 1
2013-06-29, 2, 0, 0
2013-06-30, 4, 0, 0
2013-07-01, 3, 0, 0
2013-07-02, 3, 0, 1
2013-07-03, 4, 0, 0
2013-07-04, 3, 0, 1
2013-07-05, 3, 1, 1
2013-07-06, 3, 1, 1
2013-07-07, 4, 1, 0
2013-07-08, 3, 0, 1
2013-07-09, 4, 1, 1
